,주사고원인,사고직전차량조작,운전자상태,사고시도로환경,교통장애요인,날씨,주야구분,주말여부,포장구분,노면상태,조명시설,평면선형,발생지점,절성토구분,원인차차종,차종구분,성별,연령구분
주사고원인,1.0,0.2051,0.3463,0.4803,0.0963,0.2622,0.1857,0.0701,0.0828,0.3055,0.1174,0.141,0.1935,0.0975,0.1319,0.0844,0.0751,0.1337
사고직전차량조작,0.2051,1.0,0.0785,0.0665,0.0093,0.0352,0.0126,0.0312,0.0513,0.0352,0.0245,0.0326,0.0953,0.0425,0.0469,0.0479,0.0741,0.0618
운전자상태,0.3463,0.0785,1.0,0.0614,0.0173,0.059,0.1626,0.0184,0.038,0.057,0.081,0.0161,0.0307,0.0208,0.0653,0.0391,0.032,0.055
사고시도로환경,0.4803,0.0665,0.0614,1.0,0.0361,0.3202,0.0542,0.0651,0.0382,0.3647,0.0521,0.0937,0.0657,0.073,0.0519,0.067,0.0174,0.0834
교통장애요인,0.0963,0.0093,0.0173,0.0361,1.0,0.0281,0.0476,0.0208,0.0,0.027,0.0333,0.0155,0.0605,0.0123,0.0289,0.0248,0.0167,0.0195
날씨,0.2622,0.0352,0.059,0.3202,0.0281,1.0,0.0908,0.018,0.0649,0.5543,0.0403,0.0607,0.0755,0.0333,0.0284,0.0422,0.0302,0.04
주야구분,0.1857,0.0126,0.1626,0.0542,0.0476,0.0908,1.0,0.0222,0.024,0.045,0.7103,0.0354,0.0874,0.0284,0.0544,0.0597,0.0447,0.0832
주말여부,0.0701,0.0312,0.0184,0.0651,0.0208,0.018,0.0222,1.0,0.012,0.0069,0.0346,0.082,0.0397,0.1012,0.0876,0.1089,0.0208,0.1608
포장구분,0.0828,0.0513,0.038,0.0382,0.0,0.0649,0.024,0.012,1.0,0.0534,0.0538,0.0705,0.2315,0.1455,0.0366,0.04,0.006,0.0421
노면상태,0.3055,0.0352,0.057,0.3647,0.027,0.5543,0.045,0.0069,0.0534,1.0,0.0323,0.0614,0.0868,0.0394,0.0351,0.0466,0.0255,0.0451
조명시설,0.1174,0.0245,0.081,0.0521,0.0333,0.0403,0.7103,0.0346,0.0538,0.0323,1.0,0.0734,0.2143,0.121,0.0333,0.0582,0.0333,0.0493
평면선형,0.141,0.0326,0.0161,0.0937,0.0155,0.0607,0.0354,0.082,0.0705,0.0614,0.0734,1.0,0.1553,0.3974,0.0367,0.1265,0.0252,0.0974
발생지점,0.1935,0.0953,0.0307,0.0657,0.0605,0.0755,0.0874,0.0397,0.2315,0.0868,0.2143,0.1553,1.0,0.1472,0.1103,0.0959,0.0498,0.045
절성토구분,0.0975,0.0425,0.0208,0.073,0.0123,0.0333,0.0284,0.1012,0.1455,0.0394,0.121,0.3974,0.1472,1.0,0.0363,0.121,0.0209,0.0679
원인차차종,0.1319,0.0469,0.0653,0.0519,0.0289,0.0284,0.0544,0.0876,0.0366,0.0351,0.0333,0.0367,0.1103,0.0363,1.0,0.4451,0.2457,0.1166
차종구분,0.0844,0.0479,0.0391,0.067,0.0248,0.0422,0.0597,0.1089,0.04,0.0466,0.0582,0.1265,0.0959,0.121,0.4451,1.0,0.2033,0.101
성별,0.0751,0.0741,0.032,0.0174,0.0167,0.0302,0.0447,0.0208,0.006,0.0255,0.0333,0.0252,0.0498,0.0209,0.2457,0.2033,1.0,0.0884
연령구분,0.1337,0.0618,0.055,0.0834,0.0195,0.04,0.0832,0.1608,0.0421,0.0451,0.0493,0.0974,0.045,0.0679,0.1166,0.101,0.0884,1.0
