variable,n_categories,categories,cramers_v_with_injury
주사고원인,16,"과속, 주시태만, 기타, 졸음, 노면잡물, 타이어파손, 단독차량화재, 안전거리미확보, 추월불량, 도로사정, 포트홀, 적재불량",0.2056
교통장애요인,4,"장애없음, 정차차량, 정체, 기타",0.1665
발생지점,6,"본선, 램프, 영업소(TG), 터널, 휴게소, 기타",0.1361
운전자상태,4,"정상, 피로, 음주, 기타",0.1072
사고시도로환경,6,"정상, 미끄러운노면, 낙하물, 포트홀, 기타, 시거장애",0.0846
원인차차종,6,"승용, 화물, 트레일러, 승합, 특수, 기타",0.0824
날씨,5,"맑음, 비, 흐림, 눈, 기타",0.0608
조명시설,4,"해당없음(주간), 작동, 없음, 미작동",0.0607
노면상태,4,"건조, 습기, 적설, 기타",0.06
연령구분,7,"미상, 40대, 50대, 30대, 20대, 60세이상, 20세미만",0.0563
사고직전차량조작,4,"운행차로주행, 핸들과대조작, 기타, 차로변경",0.0557
차종구분,9,"중형, 소형, 대형, SUV형, 미상, 경형, 일반화물, 탑차, 기타",0.0458
절성토구분,7,"평지, 성토고 2M 이상 5M 미만, 성토고 15M 이상, 미상, 절토부 10M 미만, 절토부 10M 이상, 성토고 2M 미만",0.0404
평면선형,4,"직선, 좌커브, 우커브, 미상",0.0233
