feature,mean_abs_shap,shap_when_present,risk_direction
발생지점_본선,0.2768,0.1733,부상위험 증가(↑)
주사고원인_노면잡물,0.1991,-1.9089,부상위험 감소(↓)
원인차차종_승용,0.1875,-0.1514,부상위험 감소(↓)
주사고원인_주시태만,0.1459,0.2981,부상위험 증가(↑)
교통장애요인_장애없음,0.1388,-0.0711,부상위험 감소(↓)
주사고원인_졸음,0.1183,0.3331,부상위험 증가(↑)
발생지점_영업소(TG),0.1163,-0.8199,부상위험 감소(↓)
조명시설_해당없음(주간),0.096,-0.0969,부상위험 감소(↓)
노면상태_습기,0.0727,-0.1456,부상위험 감소(↓)
발생지점_램프,0.0712,-0.2778,부상위험 감소(↓)
주사고원인_단독차량화재,0.0638,-2.2517,부상위험 감소(↓)
운전자상태_정상,0.0494,-0.0272,부상위험 감소(↓)
발생지점_터널,0.0479,0.3649,부상위험 증가(↑)
사고시도로환경_정상,0.0467,0.0211,부상위험 증가(↑)
주사고원인_안전거리미확보,0.0442,0.5945,부상위험 증가(↑)
연령구분_미상,0.0401,-0.106,부상위험 감소(↓)
연령구분_50대,0.0355,0.0919,부상위험 증가(↑)
사고직전차량조작_핸들과대조작,0.0354,-0.1409,부상위험 감소(↓)
연령구분_60세이상,0.0285,0.1647,부상위험 증가(↑)
노면상태_건조,0.0272,0.0197,부상위험 증가(↑)
사고직전차량조작_차로변경,0.027,0.4583,부상위험 증가(↑)
주사고원인_추월불량,0.0243,0.4657,부상위험 증가(↑)
사고시도로환경_포트홀,0.023,,표본부족
차종구분_대형,0.0214,0.0743,부상위험 증가(↑)
주사고원인_도로사정,0.0207,,표본부족
조명시설_작동,0.0203,0.0277,부상위험 증가(↑)
주사고원인_과속,0.0192,0.0293,부상위험 증가(↑)
주사고원인_타이어파손,0.0185,-0.2574,부상위험 감소(↓)
날씨_눈,0.0183,-0.2702,부상위험 감소(↓)
절성토구분_평지,0.0174,0.0146,부상위험 증가(↑)
사고시도로환경_낙하물,0.0172,-0.6358,부상위험 감소(↓)
사고직전차량조작_운행차로주행,0.017,-0.0095,부상위험 감소(↓)
연령구분_20세미만,0.0159,-0.1511,부상위험 감소(↓)
주사고원인_기타,0.0153,0.0357,부상위험 증가(↑)
원인차차종_트레일러,0.0151,0.1179,부상위험 증가(↑)
주사고원인_동물침입,0.015,-0.7155,부상위험 감소(↓)
주사고원인_적재불량,0.0143,,표본부족
운전자상태_기타,0.0136,0.3777,부상위험 증가(↑)
절성토구분_미상,0.0134,-0.0777,부상위험 감소(↓)
차종구분_중형,0.0132,-0.0182,부상위험 감소(↓)
원인차차종_승합,0.0127,0.1127,부상위험 증가(↑)
연령구분_30대,0.0126,-0.0209,부상위험 감소(↓)
주사고원인_차량결함기타,0.0116,,표본부족
평면선형_미상,0.0114,-0.1192,부상위험 감소(↓)
날씨_맑음,0.0107,0.0074,부상위험 증가(↑)
사고직전차량조작_기타,0.0106,0.1094,부상위험 증가(↑)
조명시설_없음,0.0105,0.017,부상위험 증가(↑)
날씨_비,0.0101,-0.033,부상위험 감소(↓)
원인차차종_화물,0.0101,0.0176,부상위험 증가(↑)
평면선형_좌커브,0.0089,-0.0321,부상위험 감소(↓)
평면선형_우커브,0.0088,0.0301,부상위험 증가(↑)
연령구분_20대,0.0088,0.0193,부상위험 증가(↑)
차종구분_소형,0.0086,0.0145,부상위험 증가(↑)
주사고원인_포트홀,0.0082,,표본부족
차종구분_미상,0.0079,-0.0398,부상위험 감소(↓)
사고시도로환경_미끄러운노면,0.0078,0.0233,부상위험 증가(↑)
차종구분_경형,0.0078,0.1033,부상위험 증가(↑)
평면선형_직선,0.0075,-0.0013,부상위험 감소(↓)
연령구분_40대,0.0063,0.0032,부상위험 증가(↑)
차종구분_일반화물,0.0061,-0.0731,부상위험 감소(↓)
절성토구분_성토고 2M 이상 5M 미만,0.006,-0.0152,부상위험 감소(↓)
절성토구분_성토고 15M 이상,0.006,0.0193,부상위험 증가(↑)
주사고원인_차량기타,0.0058,,표본부족
날씨_흐림,0.0049,0.0041,부상위험 증가(↑)
날씨_기타,0.0043,,표본부족
주사고원인_-,0.0037,,표본부족
차종구분_SUV형,0.0034,-0.0062,부상위험 감소(↓)
운전자상태_피로,0.0032,-0.0023,부상위험 감소(↓)
운전자상태_음주,0.0031,-0.014,부상위험 감소(↓)
교통장애요인_정체,0.0025,0.0588,부상위험 증가(↑)
절성토구분_절토부 10M 이상,0.0023,0.0175,부상위험 증가(↑)
절성토구분_성토고 2M 미만,0.0022,-0.0201,부상위험 감소(↓)
조명시설_미작동,0.0019,0.0056,부상위험 증가(↑)
교통장애요인_정차차량,0.0017,0.0127,부상위험 증가(↑)
원인차차종_기타,0.0014,,표본부족
절성토구분_절토부 10M 미만,0.0012,0.0044,부상위험 증가(↑)
차종구분_탑차,0.0012,0.0359,부상위험 증가(↑)
발생지점_휴게소,0.0009,0.0047,부상위험 증가(↑)
노면상태_적설,0.0009,,표본부족
사고시도로환경_기타,0.0008,0.0239,부상위험 증가(↑)
사고시도로환경_시거장애,0.0007,,표본부족
교통장애요인_기타,0.0002,,표본부족
원인차차종_특수,0.0002,,표본부족
차종구분_기타,1e-04,,표본부족
발생지점_기타,0.0,,표본부족
노면상태_기타,0.0,,표본부족
