dummy,OR,p_value,shap_when_present,mean_abs_shap,agree
발생지점_영업소(TG),0.1231,0.0,-0.8199,0.1163,True
발생지점_램프,0.3,0.0,-0.2778,0.0712,True
교통장애요인_정차차량,3.4507,0.0,0.0127,0.0017,True
주사고원인_노면잡물,0.0984,0.0,-1.9089,0.1991,True
원인차차종_화물,1.719,0.0,0.0176,0.0101,True
교통장애요인_정체,3.1622,0.0,0.0588,0.0025,True
운전자상태_기타,3.0133,0.0,0.3777,0.0136,True
원인차차종_승합,1.8937,0.0,0.1127,0.0127,True
주사고원인_단독차량화재,0.0459,0.0,-2.2517,0.0638,True
주사고원인_안전거리미확보,2.0714,0.0,0.5945,0.0442,True
주사고원인_주시태만,1.5374,0.0,0.2981,0.1459,True
주사고원인_졸음,1.5713,0.0,0.3331,0.1183,True
원인차차종_트레일러,2.7005,0.0,0.1179,0.0151,True
주사고원인_타이어파손,0.5753,0.0,-0.2574,0.0185,True
사고직전차량조작_차로변경,1.6267,0.0,0.4583,0.027,True
주사고원인_동물침입,0.3274,0.0,-0.7155,0.015,True
조명시설_없음,1.2393,0.0,0.017,0.0105,True
날씨_눈,0.5133,0.0,-0.2702,0.0183,True
사고직전차량조작_핸들과대조작,0.7914,0.0,-0.1409,0.0354,True
주사고원인_추월불량,1.6136,0.0,0.4657,0.0243,True
사고시도로환경_낙하물,0.2966,0.0,-0.6358,0.0172,True
조명시설_작동,1.1949,0.0,0.0277,0.0203,True
연령구분_50대,1.2549,0.0,0.0919,0.0355,True
연령구분_60세이상,1.2794,0.0,0.1647,0.0285,True
운전자상태_음주,1.3604,0.0,-0.014,0.0031,False
차종구분_미상,0.644,0.0,-0.0398,0.0079,True
연령구분_40대,1.1859,0.0,0.0032,0.0063,True
발생지점_휴게소,0.6641,0.0,0.0047,0.0009,False
운전자상태_피로,1.213,0.0001,-0.0023,0.0032,False
날씨_비,0.7658,0.0002,-0.033,0.0101,True
발생지점_터널,0.8228,0.0006,0.3649,0.0479,False
차종구분_대형,1.1366,0.0008,0.0743,0.0214,True
연령구분_20대,1.1701,0.001,0.0193,0.0088,True
연령구분_30대,1.144,0.0015,-0.0209,0.0126,False
차종구분_탑차,1.3307,0.0018,0.0359,0.0012,True
사고직전차량조작_기타,1.1944,0.0033,0.1094,0.0106,True
노면상태_습기,0.8221,0.0035,-0.1456,0.0727,True
사고시도로환경_기타,0.6943,0.0102,0.0239,0.0008,False
차종구분_SUV형,1.1088,0.0159,-0.0062,0.0034,False
차종구분_경형,1.1642,0.0214,0.1033,0.0078,True
절성토구분_미상,0.886,0.0394,-0.0777,0.0134,True
절성토구분_성토고 2M 이상 5M 미만,0.9266,0.0548,-0.0152,0.006,True
차종구분_일반화물,0.8801,0.0611,-0.0731,0.0061,True
절성토구분_절토부 10M 이상,1.0914,0.0927,0.0175,0.0023,True
절성토구분_절토부 10M 미만,1.0659,0.1682,0.0044,0.0012,True
절성토구분_성토고 2M 미만,0.9487,0.3487,-0.0201,0.0022,True
평면선형_우커브,1.0319,0.4016,0.0301,0.0088,True
평면선형_미상,0.9412,0.4265,-0.1192,0.0114,True
절성토구분_성토고 15M 이상,0.9701,0.4317,0.0193,0.006,False
조명시설_미작동,1.05,0.4724,0.0056,0.0019,True
연령구분_20세미만,0.9581,0.5042,-0.1511,0.0159,True
차종구분_소형,0.9822,0.5829,0.0145,0.0086,False
평면선형_좌커브,1.02,0.5914,-0.0321,0.0089,False
날씨_흐림,1.0153,0.6718,0.0041,0.0049,True
사고시도로환경_미끄러운노면,1.0117,0.8236,0.0233,0.0078,True
주사고원인_기타,1.0091,0.847,0.0357,0.0153,True
