feature_1,feature_2,mean_abs_interaction,joint_shap_when_both
발생지점_영업소(TG),원인차차종_승용,0.025,0.2856
주사고원인_주시태만,원인차차종_승용,0.0217,-0.0699
주사고원인_주시태만,발생지점_본선,0.0192,0.0539
주사고원인_졸음,원인차차종_승용,0.011,-0.0595
발생지점_본선,원인차차종_승용,0.0103,-0.0092
사고시도로환경_정상,노면상태_습기,0.0095,-0.0087
주사고원인_주시태만,조명시설_해당없음(주간),0.0091,-0.0345
주사고원인_노면잡물,발생지점_본선,0.0088,-0.1083
발생지점_본선,노면상태_습기,0.0087,-0.0216
주사고원인_주시태만,발생지점_영업소(TG),0.0085,-0.1701
주사고원인_노면잡물,사고시도로환경_정상,0.0083,-0.0966
주사고원인_노면잡물,사고직전차량조작_운행차로주행,0.0076,-0.0474
사고시도로환경_정상,노면상태_건조,0.0075,0.0055
발생지점_램프,원인차차종_승용,0.0073,-0.0453
주사고원인_과속,발생지점_본선,0.0069,-0.0131
주사고원인_졸음,운전자상태_정상,0.0067,0.0126
주사고원인_단독차량화재,발생지점_본선,0.0067,-0.2919
원인차차종_승용,연령구분_50대,0.0061,0.0284
주사고원인_노면잡물,조명시설_해당없음(주간),0.006,-0.1131
원인차차종_승용,연령구분_미상,0.0057,-0.0245
