변수,β,z,IRR,CI하한,CI상한,p값,유의,방향
주사고원인_-,-0.933,-3.5389,0.3934,0.2346,0.6595,0.0004,***,감소
주사고원인_기타,0.1043,2.2857,1.1099,1.015,1.2137,0.0223,*,증가
주사고원인_노면잡물,-2.2391,-22.5001,0.1066,0.0877,0.1295,0.0,***,감소
주사고원인_단독차량화재,-3.2465,-13.0194,0.0389,0.0239,0.0634,0.0,***,감소
주사고원인_도로사정,-1.6894,-7.3439,0.1846,0.1176,0.2898,0.0,***,감소
주사고원인_동물침입,-1.0664,-7.0809,0.3443,0.2563,0.4625,0.0,***,감소
주사고원인_안전거리미확보,0.7566,11.1826,2.131,1.8664,2.4332,0.0,***,증가
주사고원인_적재불량,-1.6164,-7.2195,0.1986,0.1281,0.308,0.0,***,감소
주사고원인_졸음,0.355,7.5251,1.4262,1.3002,1.5644,0.0,***,증가
주사고원인_주시태만,0.4231,10.6846,1.5266,1.4126,1.6498,0.0,***,증가
주사고원인_차량결함기타,-0.4698,-2.856,0.6252,0.4529,0.863,0.0043,**,감소
주사고원인_차량기타,-1.0076,-5.1459,0.3651,0.2487,0.5359,0.0,***,감소
주사고원인_추월불량,0.5324,6.7956,1.703,1.4606,1.9856,0.0,***,증가
주사고원인_타이어파손,-0.3335,-4.8351,0.7164,0.6259,0.8201,0.0,***,감소
교통장애요인_기타,0.7109,5.8002,2.0357,1.601,2.5885,0.0,***,증가
교통장애요인_정차차량,1.0734,17.6607,2.9254,2.5968,3.2955,0.0,***,증가
교통장애요인_정체,1.0499,13.3078,2.8575,2.4481,3.3354,0.0,***,증가
발생지점_기타,-0.6381,-1.9085,0.5283,0.2744,1.0173,0.0563,,비유의
발생지점_램프,-1.2382,-26.188,0.2899,0.2643,0.3181,0.0,***,감소
발생지점_영업소(TG),-1.9482,-30.9577,0.1425,0.126,0.1612,0.0,***,감소
발생지점_터널,-0.1126,-1.9638,0.8935,0.7986,0.9998,0.0495,*,감소
발생지점_휴게소,-0.3751,-3.9452,0.6872,0.5704,0.828,0.0001,***,감소
운전자상태_기타,0.7393,8.0635,2.0946,1.75,2.5069,0.0,***,증가
운전자상태_음주,0.2522,3.6183,1.2868,1.1225,1.4752,0.0003,***,증가
운전자상태_피로,0.1795,3.5351,1.1966,1.0833,1.3218,0.0004,***,증가
사고시도로환경_기타,-0.317,-2.3435,0.7283,0.5587,0.9494,0.0191,*,감소
사고시도로환경_낙하물,-1.1129,-6.3746,0.3286,0.2334,0.4627,0.0,***,감소
사고시도로환경_미끄러운노면,0.0461,0.923,1.0472,0.9495,1.155,0.356,,비유의
사고시도로환경_시거장애,-0.492,-3.3542,0.6114,0.4586,0.815,0.0008,***,감소
사고시도로환경_포트홀,-3.9822,-6.8431,0.0186,0.006,0.0583,0.0,***,감소
원인차차종_기타,1.1811,6.5194,3.2578,2.2841,4.6465,0.0,***,증가
원인차차종_승합,1.0037,21.4696,2.7283,2.4894,2.9901,0.0,***,증가
원인차차종_트레일러,0.9554,8.666,2.5998,2.0946,3.2269,0.0,***,증가
원인차차종_특수,0.8378,4.7944,2.3114,1.641,3.2555,0.0,***,증가
원인차차종_화물,0.3632,11.0435,1.438,1.3482,1.5337,0.0,***,증가
날씨_기타,0.389,2.5361,1.4754,1.0924,1.9928,0.0112,*,증가
날씨_눈,-0.4558,-4.7472,0.634,0.5252,0.7652,0.0,***,감소
날씨_비,-0.2246,-3.1864,0.7989,0.6958,0.9172,0.0014,**,감소
날씨_흐림,0.0136,0.3782,1.0137,0.9445,1.088,0.7053,,비유의
조명시설_미작동,0.0135,0.2011,1.0136,0.8883,1.1566,0.8406,,비유의
조명시설_없음,0.1549,4.6905,1.1675,1.0944,1.2456,0.0,***,증가
조명시설_작동,0.0736,2.4792,1.0764,1.0155,1.1409,0.0132,*,증가
노면상태_기타,0.254,0.794,1.2891,0.6887,2.413,0.4272,,비유의
노면상태_습기,-0.212,-3.2057,0.809,0.7106,0.9209,0.0013,**,감소
노면상태_적설,-0.1095,-0.5988,0.8963,0.6264,1.2825,0.5493,,비유의
연령구분_20대,0.1543,3.2701,1.1668,1.0638,1.2798,0.0011,**,증가
연령구분_20세미만,-0.0667,-1.0606,0.9355,0.8271,1.0582,0.2889,,비유의
연령구분_30대,0.063,1.4978,1.0651,0.9807,1.1566,0.1342,,비유의
연령구분_40대,0.114,2.8746,1.1207,1.0369,1.2113,0.004,**,증가
연령구분_50대,0.2006,5.048,1.2221,1.1305,1.3211,0.0,***,증가
연령구분_60세이상,0.2343,4.7952,1.264,1.1486,1.3911,0.0,***,증가
사고직전차량조작_기타,0.2509,4.2007,1.2852,1.1432,1.4448,0.0,***,증가
사고직전차량조작_차로변경,0.4039,5.8891,1.4977,1.3093,1.7132,0.0,***,증가
사고직전차량조작_핸들과대조작,-0.1777,-4.8755,0.8372,0.7795,0.8992,0.0,***,감소
차종구분_SUV형,0.0789,1.8764,1.0821,0.9965,1.175,0.0606,,비유의
차종구분_경형,0.0764,1.1556,1.0794,0.9482,1.2287,0.2479,,비유의
차종구분_기타,-0.0883,-0.3612,0.9155,0.567,1.4781,0.7179,,비유의
차종구분_대형,0.1928,5.123,1.2126,1.1264,1.3054,0.0,***,증가
차종구분_미상,-0.6138,-6.1574,0.5413,0.4452,0.6581,0.0,***,감소
차종구분_소형,-0.0714,-2.1913,0.9311,0.8734,0.9925,0.0284,*,감소
차종구분_일반화물,-0.1598,-2.2556,0.8523,0.7418,0.9793,0.0241,*,감소
차종구분_탑차,0.0954,0.9576,1.1,0.905,1.3371,0.3383,,비유의
절성토구분_미상,-0.1425,-2.4335,0.8672,0.7731,0.9726,0.015,*,감소
절성토구분_성토고 15M 이상,-0.0955,-2.452,0.9089,0.8421,0.981,0.0142,*,감소
절성토구분_성토고 2M 미만,-0.0395,-0.7073,0.9613,0.8617,1.0724,0.4794,,비유의
절성토구분_성토고 2M 이상 5M 미만,-0.0994,-2.513,0.9054,0.8378,0.9784,0.012,*,감소
절성토구분_절토부 10M 미만,0.0186,0.3988,1.0188,0.9296,1.1166,0.6901,,비유의
절성토구분_절토부 10M 이상,0.0695,1.3346,1.072,0.968,1.1872,0.182,,비유의
평면선형_미상,-0.0949,-1.2373,0.9094,0.7825,1.057,0.216,,비유의
평면선형_우커브,0.0731,1.9647,1.0758,1.0002,1.1572,0.0494,*,증가
평면선형_좌커브,0.0224,0.6078,1.0226,0.9514,1.0992,0.5433,,비유의
