dummy,VIF
노면상태_습기,5.464
날씨_비,5.215
차종구분_미상,3.705
원인차차종_트레일러,3.23
주사고원인_포트홀,2.345
사고시도로환경_포트홀,2.323
주사고원인_졸음,2.122
주사고원인_주시태만,2.043
날씨_눈,1.995
주사고원인_노면잡물,1.912
절성토구분_미상,1.875
사고시도로환경_미끄러운노면,1.78
주사고원인_기타,1.719
평면선형_미상,1.704
연령구분_40대,1.676
연령구분_50대,1.663
연령구분_30대,1.606
원인차차종_화물,1.57
연령구분_20대,1.455
운전자상태_피로,1.44
차종구분_일반화물,1.365
차종구분_소형,1.352
연령구분_60세이상,1.34
발생지점_영업소(TG),1.332
노면상태_적설,1.275
발생지점_램프,1.27
원인차차종_특수,1.259
조명시설_작동,1.251
차종구분_SUV형,1.251
차종구분_대형,1.25
연령구분_20세미만,1.24
주사고원인_타이어파손,1.225
주사고원인_도로사정,1.223
사고시도로환경_낙하물,1.219
절성토구분_성토고 15M 이상,1.213
조명시설_없음,1.202
주사고원인_-,1.182
절성토구분_성토고 2M 이상 5M 미만,1.181
사고시도로환경_시거장애,1.177
주사고원인_추월불량,1.174
주사고원인_단독차량화재,1.172
평면선형_우커브,1.165
주사고원인_안전거리미확보,1.155
사고시도로환경_기타,1.155
발생지점_터널,1.153
평면선형_좌커브,1.149
원인차차종_기타,1.149
절성토구분_절토부 10M 미만,1.124
날씨_흐림,1.123
주사고원인_적재불량,1.115
절성토구분_절토부 10M 이상,1.114
차종구분_탑차,1.112
주사고원인_동물침입,1.107
차종구분_경형,1.104
원인차차종_승합,1.103
운전자상태_음주,1.092
절성토구분_성토고 2M 미만,1.091
사고직전차량조작_차로변경,1.09
사고직전차량조작_핸들과대조작,1.075
사고직전차량조작_기타,1.063
차종구분_기타,1.049
주사고원인_차량결함기타,1.045
주사고원인_차량기타,1.045
발생지점_휴게소,1.038
조명시설_미작동,1.037
운전자상태_기타,1.028
교통장애요인_정체,1.027
날씨_기타,1.026
교통장애요인_정차차량,1.024
교통장애요인_기타,1.009
노면상태_기타,1.009
발생지점_기타,1.008
